Question,Q_Annotation,A_Annotation,Final_A_Annotation
ما هي أفضل وأسرع طريقة للتخلص من آثار النوم في الوجه بعد الاستيقاظ مثل الانتفاخات وتحت العين ,1,اخد حمام صباحي بالماء البارد يحفز الدورة الدموية ويشد الجلد اذا لم يكن لديك القدرة على اخد حمام بارد في الصباح يمكنك وضع م ن ش ف ة  في التلاجة و بعد الاستيقاظ من النوم ضعي المنشفة الباردة على وجهك لمدة 5 دقائق,0
هل الماريجوانا الطبية متاحة في بلدك ,0,لا,0
ماذا يشرب المريض عند حدوث تسمم غذائي ,0,الأحسن التوجه إلى المستشفى أو الصيدلية  أغلب الأدوية عبارة عن مضادات الإسهال والتشجنات وفي معضم الأحيان تختفي الاعراض بعد يومين حتى بدون دواء  أتكلم بصفه عامة لأن التسمم يمكن أن يكون خطيرا ويستلزم البقاء تحت إشراف الطبيب وهذا على حسب نوع البكتيريا المسؤولة  ,0
ما هي العادات التي تعتقد أنها تسبب لك زيادة الوزن ,1,في اخر سنتين من بلشت اتبع نظام غذائي اكتشفت انو الأشياء التي كانت تسبب زيادة الوزن عندي هي   1  عدم ممارسة الرياضة او عدم الحركة الكثيرة خلال اليوم2  أكل الحلويات كثيرآ3  تناول الطعام في كميات جدآ كبيرة4  عدم شرب كمية ال ماء المناسبة,1
مع التطور التكنولوجي السريع  ما هي أفضل الأمور التي يجب أن أتعلمها لمواكبة السنين القادمة  وما هو التخصص الطبي المناسب لهذا العصر مع الروبوتات والذكاء الاصطناعي ,1,عليك أن أن تعرف ان في عام 2025 ستكون نسبة البطالة أكثر من 79   لأن العمال حق المصانع وغيرها الكثيييييييييير استبدلوها بريبورتات عالية الجودةولكن خليك في الطب البشري أو خليك تمريض أو مثل ماقلتلك طب عام,0
ما رأيك بدراسة التمريض غير أنه عمل مرهق  ما هي مميزاته ,1,تعمل والدتي بمهنه التمريض انا لست ممرضه ولكنني اعتقد ان مهنة التمريض مهنة إنسانية عظيمه من رائي انها مهنه لايمكن الاستغناء عنها في اي مستشفي   يطلق على من يعملون في تلك المهنة على أنهم ملائكة الرحمة  بسبب الدور الإنساني الكبير الذي يقدمونه للمرضى من مختلف المراحل العلاجية هي مهنة بها شرف وتكريم الآدميينوهي مهنة رائعة ذات خصوصيةنعم هي شاقة لما بها من مشقة التعامل مع أوضاع حرجة تتطلب الكثير من الجلد ونكران الذاتلكن إبتسامة رضى على شفتي مريض كان يتلوى ألما وتعافى تجعل كادر التمريض يتجاوز آلامهويتسامى فوق كل م لاقاه فتلك لحظة ثمينة وقيمةوأعظم حافز يتقاضاه كادر التمريض هو دعاء صادق من أعماق القلب يجود به مريض تماثل للشفاء اري في والدتي انها صبوره وحنونه جدا وهذا يظهر في تعاملاتها بشكل اساسي لا تستطيع ان تري احدا يتالم ولا تساعده اشعر ان لديها من العلم الكافي ماتستطيع تخفيف آلامي او الآم الاخرين واذا لم تقدم المساعده مثلا تقدم الامان بطريقه جميلهياتي الي امي اشخاصا  من كل مكان  في بلدتنا حتي تعطيهم حقنه او تركب محلولا مثلا فقلت لها عندما كنت صغيره نستطيع ان نفتح مشروعا كبيرا ونجني الكثير من المال فقالت انها مساعده الناس تجعلها سعيده وانها بذلك تبتغي الثواب من الله عز وجل  ,1
ماذا تعرفون عن نظام الكيتو  وما الذي يجب الانتباه إليه عند اتباعه  وهل تنصحون به ,0,يعتمد نظام الكيتو على الحرمان من السكريات  الكربوهيدرات  وبالتالي تخفيض الإنسولين لأدنى مستوياته علما أن الإنسولين هو المسؤول عن بناء الكتلة الشحمية في الجسم الميزات سهل التطبيق نوعا ما مثالي لمحبي اللحوم والبيض نزول الوزن سريع المساوئ ممل حيث أن المجموعات الغذائية المسموح بها قليلة  لحوم بيض دسم  يسئ لوظيفة الكليتين عودة كسب الوزن بعد إيقافه تكون سريعة ,0
ما أعراض نقص هرمون السيروتونين ,0,أعراض نقص هرمون السيروتونين يتمث ل نقص هرمون السيروتونين في الجسم بمجموعة من الأعراض التي يمكن أن تحدث للأشخاص عند انخفاض مستوياته عن الحد الطبيعي  وقد يؤ ثر ذلك بشكل سلبي في سلوكهم  ومن هذه الأعراض ما يلي راموس المصري Ramos Al Masry,0
لماذا كل الأسئلة تدور حول الحب ,1,سؤال جميل رغم اني واجهت اسئلة لا تدور حول الحب لكن سأجيبك برأيي الشخصي  تدور كل الاسئلة حول الحب لان لا حياة بدون حب حتى في علم النفس درسنا ان الجنين في بطن امه يحس ان كان مرغوبا و محبوبا من طرف الابوين او لا و خصوصا من الام و ان كان غير محبوب سيواجه اضطرابات نفسية في حياته تظهر ما ان يتعرض هذا الشخص لاول عامل مفجر و انا هنا اتكلم عن الحب عامة و ليس عن حب الحبيب فقط فتخيل معي ان حياتك خالية من حب الاهل و من حب الناس اجمع و من حب الله و ملائكته هل تستطيع ان تعيش   الحب يعطي معنى لوجودك في هذه الدنيا فما أجمل ان تسمع كلمة احبك صادقة من اهلك او من اصدقائك او من حبيبك و انا متأكدة انه سيغير وقع هذه الكلمة مسار يومك  اقرأ معي هذا  حديث أبي هريرة عن النبي ﷺ قال  إن الله تعالى إذا أحب عبدا دعا جبريل  فقال  إني أحب فلانا فأحببه  فيحبه جبريل  ثم ينادي في السماء  فيقول  إن الله يحب فلانا فأحبوه  فيحبه أهل السماء  ثم يوضع له القبول في الأرض  وإذا أبغض عبدا دعا جبريل  فيقول  إني أبغض فلانا فأبغضه  فيبغضه جبريل  ثم ينادي في أهل السماء  إن الله يبغض فلانا فأبغضوه  ثم توضع له البغضاء في الأرض ,1
ما هو سبب ظهور الشيب في عمر مبكر ,0,ساجيب بتجربة شخصية ما زلت انتظر نتائجها بصراحة    عمرى 24 سنة واعانى من ظهور بعض من الشعر الابيض اكاد اعدهم هما بالكثير لا يتعدو 15 شعرة واما شعرى كثيف واتوقع الشيب المبكر ياتى من التوتر الدائم نتيجة من الصدمات النفسية الدائمة    والحل هوا الهدوء وشرب المياه بكثرة وشاهدت فيديو للدكتور بيرج عاليوتيوب يقول ان اكبر الاكلات المقاومة للشيب ومضادت للاكسدة الذي تظهر عالشعر هوا اكل الفطر او المشروم بالمعنى الاخر وسيعود الشعر للونة الطبيعى حسب كلامو   صدقنى عندى شهر اجرب ومتفائل لان الدكتور بيرج مشهور وموثوقوساعطيك اكلة اعتبرها شخصية للفطر   اذهب الى اقرب سوبر ماركت واشترى فطر مجهز باالليمون وميه الملح واخرج بعد منه 5 معالق صغيرة واغسله جيدا فى مصفاه من المياه الملح والمواد الاخرى وبعدها ضعه عالقلى بزيت الذرة ونار متوسطة والرشة البسيطة جدا من الملح والفلفل الاسود وقلبهم دقيقتين    مع هذا الكل تكون مجهز 3 بيض مخفوق جيدا وقم بعمل اومليت بالفطر    هذه طريقتى لاكل الاومليت الغير محبب للبعض لانه رخوى وطعمه غير محبب,1
