Question,Subj_Q,Answer,Subj_A,Domain
سأكون مستقل ا وصاحب مشاريع  هل هذا ممكن ,0,من تجربة متواضعة قي هذا للمجال وجدت ان الكثير من المستقلين اصبحوا في وقت ما اصحاب مشاريع  تعاملت مع الكثير من العملاء الذين اخبروني انهم كانوا مستقلين ووجدوا طريقهم اما بالانضمام الى شركات او بإقامة مؤسساتهم الخاصة او مشاريعهم التي دفعتهم للبحث عن مستقلين اخرين لقوموا بتوظيفهم لمساعدتهم في العمل  اظن ان هذه نقط تحتسب لمواقع العمل الحر نفسها التي تخرج من اكاديمتها اشخاص قادرين على العودة اليها كمستثمرين في مجال سوق العمل لحر  كمستقلة اضطررت لفتح بعض المشاريع المساعدة  وكانت تجربة جيدة لاحظت فيها فرق شاسع بين ان تكون عميل او صاحب مشروع وبين ان تكون مستقل ,0,العمل الحر
ما هي النقاط التي تتفاوضون حولها مع صاحب المشروع قبل البدء ,0,أعتقد أن وضع النقاط على السطور من البداية أهم وسيلة لتمام المشروع  ولكن قبل ذلك هو الاتفاق على النقاط القابلة للتفاوض  بعض العملاء تكون لهم وجهة نظر محددة عن المشروع يريدون تطبيقها فقط بدون أي بدائل  تأثر ا بتعاملاته مع مستقلين سابقين ربما وهو الأمر الأصعب لأني مثل ا لو أخبرته عن امكانية اضافة المشروع في معرض أعمالي يظن أنه غش من نوع ما  هل هذا الأمر ممكن أصل ا  المستقل السابق لم يفعل ذلك  دون النظر لطبيعة المشروع ولا لاختلاف آلية عمله ولكن يا علي لفت نظري أنك قرأت كثير ا في التفاوض والتسعير  هل من الممكن أن تقترح علي شيء لقراءته في هذه النقاط وهل يتغير السعر مثل ا اذا وافق العميل على اضافة العمل للمعرض  هل يمكن لذلك تقليل من سعر المنتج ,1,العمل الحر
بين رأيين متعارضين  هل على المستقل إتقان مهارة إدارة توقعات العملاء  وما هي متطلبات هذه المهارة ,0,رأي ضياء قد يبدو صحيحا من الناحية النظرية  جانب القيم والمبادئ والحدود  ولكن على أرض الواقع رأي فاطمة هو ما يصلح للتطبيق العملي وهو ما يأتي بالعميل إليك ويجعله يدفع لك بالنهاية إذا قارننا بين احتياج العميل للمستقل  واحتياج المستقل للعميل  فأنا كمستقل أكثر حاجة إلى العميل  حتى ولو كنت ذات خبرة ومهارة عالية  يمكنه استبدالي فأصحاب الخبرة والجودة العالية والأسعار التنافسية في كل مكان  ,1,العمل الحر
تجهيزات العمل عن بعد خلال السفر  هل من نصائح ,0,مرحب ا فاطمة  أتشر ف بشد ة بشكرك لمساهمتي من خلال الموضوع الذي تطريحنه  بالنسبة لمربط الفرس في هذه النقطة  أجد أن الأمر يعتمد في أساسه على عمق الثقافة الاقتصادي ة لدى الفرد بشكل كبير  ففي ضوء النقطة التي تشيرين إليها حول الاستعدادات  نجد أهمية  كبيرة  للكثير من المعايير في هذا السياق  وهي المعايير التي تعتمد على ثقافة الفرد الاقتصادية ووعيه بالوضع المالي للبلد الأم ووجهة السفر  وبالوضع الاقتصادي لعملته المحل ية وعملة البلد التي يتجه إليها  يجب أن يلم بكل الظورف في هذا السياق  وأن يدرك تمام ا موقف عملة البلد الحالي وما هو متوق ع لها خلال الفترة القادمة  وأيض ا علاقتها بالدولار ,1,العمل الحر
ماهي أفضل 14 خدمة ممكن أن تقد  مها في خمسات في 2023 ,0,شكرا لك لقد فتحت لي بابا من الأفكار ,1,العمل الحر
لو صادفت عميل شديد اللهجة  كيف ستكسبه ,0,علينا التفكير أحيان ا بعقلية العميل  هو أيض ا من حقه القلق بشأن مشروعه  وقد يكون هذا العميل على الجانب لآخر ملزم ا أمام مسؤول آخر بأن يتم إنجاز المشروع بشكل جيد  فجودة الإنجاز قد تتعلق بصورته المهنية كذلك مع وجود هذا الحق للعميل  سيبقى إبراز ذلك بطريقة لطيفة واحترافية في كل الأحوال أفضل من التعبير عنه بانفعال  فالتعبير بهذه الطريقة حتم ا لن يعود على المستقل ولا على العميل بأي نفع  لكن هناك بعض العملاء لا يتقنون التعبير بشكل جيد  أن يتمكن العميل من إخراج أفضل ما لدى المستقل وبأقل الطرق ضرر ا هو ذكاء من العميل نفسه ,0,العمل الحر
ما الذي يتطل به الانعزال داخل فق اعة العمل الحر أثناء العمل ,0,ما يتطلبه الانعزال هو إرادة في المقام الأول  أجهز فقاعتي بترتيب المكتب وتعطير المكان ووضع الهاتف على الصامت  مع ملابس مريحة حسب درجة الحرارة  لكن كوب الشاي لا علاقة له بدرجة الحرارة  هو عنصر ثابت آخذ فاصل ا كل فترة  وبعض الأحيان يمكنني تشغيل مقطع صوتي بصوت منخفض جد ا  لكن مشاريع الكتابة لا أفعل ذلك احذر ش ب لاي من إصدار الضجيج أو الشجار أو المقاطعة ولكن لا تحذيراتي تجدي نفع ا  ولا أنا أتوقف عن التحذير أشعر أنني طورت من ميزة التأقلم وتجاهل المشتتات لدي  بدرجة جيدة  وكان هذا قسر ا  أي مجبر أخاك لا بطل  لأنني في المقام الأول أحب العمل فترة الليل في الصمت المطبق  ولكن بما أن السهر ليل ا يؤثر على مهامي الأخرى فلم يعد الخيار الأفضل ,0,العمل الحر
متى يقر ر صاحب المشروع إلغاء مشروع المستقل ,0,أعتقد أن السبب الرئيسي لإلغاء المشاريع هو أن يكون المستقل الذي تم اختياره غير مطابق للمواصفات التي يحتاجها العميل لإنهاء مشروعه بدقة وهذا يحدث كثيرا وأراه بعيني في كثير من الحالات وخصوصا بالنسبة للمستقلين الجدد    يحاول البعض أن يبرز ما ليس لديهم من مهارات وهذا ما أجده خطيرا بعض الشئ لأنك في النهاية ستسأل عما تعرض أنه بإمكانك وإذا لم تلبي المطلوب سيتم إلغاء المشروع وستتعرض لخسارة كبيرة لذلك فلابد من التريث في اختيار المشاريع    أما بالنسبة للمشاكل الأخرى فأرى أنه من الممكن أي خطأ في التواصل بين العميل والمستقل قد يودي لذلك كالمثال الذي قمت بطرحه يا على  بالإضافة إلى تقاعس البعض في عدم عمل  التعديلات اللازمة والتى تؤدي إلى نفس النهاية المحتومة لذلك فيجب علينا أن نحذر من ذلك  في الواقع تجربتي كانت مختلفة قليلا عن ذلك ولكني أريد أن أعرضها حتى يتعلم الجميع منها لعلها تفيد أحدهم    تعر ضت  لتقييد حساب مستقل أكثر من مرة بسبب أخطاء لم أكن أعلم عنها شئ   في إحدى المرات قمت بالتقديم على أحد المشاريع وتواصلت مع العميل ومن ثم قمت بعمل المطلوب بدقة ولكنه لم يروق للعميل ولكن هذا لم يزعجني أبدا بل قمت بالإستمرار لعمل التعديلات حتى وصلنا لمرحلة من عدم التواصل تماما وانقطعت الأخبار وانشغلت عن الأمر وظل المشروع مفتوح لمدة عامين ومن ثم تذكرت أنني أريد أن أنهى هذا المشروع أو أن يتم إلغاءه حتى في أضيق الحدود وولكن حدث ما لم يكن متوقع    عرض علي العميل أن يعطيني المبلغ ولكن أقل قليلا خارج منصة مستقل وحينها تم تقييد حسابي مرة فأخرى ومن ثم تم خسارة حسابي بالرغم من إنهائي لأكثر من 20 مشروع وحصولي على 3 أوسمة ولكن لم يكن بالإمكان أكثر مما كان    نعم لقد كانت صدمة وخسارة جسيمة بالنسبة لي ولكنني تعلمت منها الكثير لذلك أنا أحكي هذا لكي نتجنب جميعنا مثل هذه الاخطاء وأرى أن المفتاح الرئيسي لتجنب مثل هذه النهاية المأساوية عن طريق  التواصل الفعال  بين العميل وبين المستقل ولابد أن يفهم المستقل كافة التفاصيل الخاصة بالمشروع قبل البدء ويرى إمكاناته في تنفيذ المطلوب ومن ثم الشروع في العمل وأن يكون المستقل بصدر رحب لتقبل كافة التعديلات حتى لا يحدث أي شئ قبيل ذلك ويتم التسليم بقبول من الطرفين ,1,العمل الحر
العميل يتحدث بالعامية  هل إصراري على الحديث بالفصحى يعد ضعف في مهارات التواصل لدي ,1,هذا الأمر تساءلت عنه مرة في نفسي  خصوصا أن اللهجة الخاصة بنا في موريتانيا من الصعب التعرف عليها ومن غير المريح أن يتكلم المرء في لهجة لا يتقنها هو ويتقنها العميل لأنه سيقع في هفوات غير احترافية هذا في ما يخص مختلفي اللهجة  فيجب أن تحذري من التكلم بالعامية مع شخص لا يتحدث لهجتك الأم في الجانب الآخر يختلف الأشخاص في تحدثهم بالفصحى باختلاف مستواهم فيها  فمنهم من لديه قاموس واسع جدا من الكلمات والألفاظ والجمل الحميمة والتي لا يستغربها العميل هذا النوع من العبارات أو الكلام بالفصحى البسيطة يضفي على الحديث جوا ملائما وسلسا مع تمسك المتكلم باحترافيته وجديته خلاصة الأمر أن التحدث بالفصحى لمن لديه توسع فيها ودون أخطاء هو أمر جيد جدا ومريح للعميل ,1,العمل الحر
اختلاف الثقافات في العمل الحر ميزة ودافع للإبداع أم تحدي صعب ,1,تعر ضت لمشكلة مشابهة إلى حد طريف يا فاطمة  عملت  من قبل على وصف منتجات لمتجر لبيع منتجات القهوة والبن  استعنت  مع وصف أحد المنتجات الخاصة بالمتجر من خلال بيت للشاعر محمود درويش يتحد ث فيه عن القهوة  فيقول رفض العميل هذا الأسلوب قلب ا وقالب ا  بصراحة لم أعمل أنا على الإقناع كما أشرتي  فأنا من هواة مدرسة أخرى في هذا الصدد  أوض ح وجهة نظري بجملتين على الأكثر  بعدها أعيد بناء ما طلبه العميل بدق ة دون محاولة إضافي ة لإقناعه ,1,العمل الحر
ما هو أفضل مدى زمني للتخطيط لأعمالنا في العمل الحر ,0,كم جر بت الخطط السنوية والنصف سنوية وحتى وصلت في النهاية إلى أن أضع خطط أسبوعية ولم ي فلح أي شيء نهائيا  في تحقيق ما كنت أطمح إليه فعلا  من الخطة  أعلى تقدير وصلت إليه لهذه اللحظة هو أن أتم  80  فقط من الخطة الموضوعة والمصممة  هذا طبعا  دون أن ن غفل الوقت الذي نضي عه في تخطيطنا لهذه الأمور  في تلك الأيام شعرت بأنني أفشل بسبب الكسل  لكن هذه ليست الحقيقة  تنب هت إلى ذلك بقياسي لمدى عملي  أي المتوسط الحسابي لعدد ساعات عملي على الخطة في الاسبوع  تفاجئت بأنني أبذل جهودا  مضاعفة ولكن ما يعرقل هذه الجهود الظروف المفاجئة وهنا بالضبط خطر لي  أننا حين نرسم دروبا  تفصيلية محكومة بأوقات معي نة نحن نغفل أهم شيء يجب أن لا نغفله نهائيا  وهو مسألة الظروف المفاجئة وواقع الحياة الفعلي  لا يمكنك أن تعرف ما الذي سيحصل غدا  لا على صعيد الأمور الكبيرة التي تغي ر مسار الحياة ولا على صعيد الأمور الصغيرة التي تشك ل ضغوطا  عليك تحول بينك وبين الانتاجية  ولذلك قررت الامتثال لمعلومة كنت قد سمعتها مرارا  وتكرارا  ولكن لم أنف ذها يوما   بأن على طريقي في الحياة لا أن يحكمه الوقت والتخطيط بالـ deadline بل بمسألة أخرى كنا قد قرأناها سابقا  أنا وأنت بكل تأكيد في الكتاب الشهير العادات السبع للناس الأكثر فعالية  الأهم ثم المهم  الم هم أن ن دير أولوياتنا لا أن نخطط دروبنا  ولذلك  صرت من ذلك الوقت أقوم بذلك يوميا   في كل صباح أحدد أولياتي والأمور الثانوية  أبدأ بالأولويات دائما  وأفعل ما استطيع أن أفعله فقط كيف يمكنني الاستفادة من هذا الأمر بالدرجة القصوى  أن أحدد الوجهة الأخيرة وأسأل نفسي فعلا   ما هي السبع خطوات الصغيرة التي أستطيع فعلها الأن  أدو ن ذلك  ثم  أفرز المهم والأهم وأبدأ بالأهم  حين أنتهي من سبع خطوات  أنتقل لسبعة أخرى  لا يمكن أن أحيد عن هدفي لإنني حددت الوجهة ولا يمكن أن أتأخ ر لإنني أعمل بشكل متواصل  بالتزام عالي ولكن بدون ضوابط وقت لا تقيم اعتبارات للمفاجئات وخاصة في مسألة العمل الحر ,1,العمل الحر
