Question,Subj_Q,Answer,Subj_A
ماهي سلبيات الذكاء الاصطناعي  ,0,من الممكن تحديد بعض السلبيات التي قد تصاحب الذكاء الاصطناعي  على سبيل المثال 1  قدرتها المحدودة على الفهم الحقيقي للعالم والبيئة الاجتماعية والثقافية بشكل كامل  بما في ذلك المعاني الدقيقة والتفاصيل الدقيقة في اللغات الأخرى 2  الاعتماد على البيانات المدخلة لها  مما يعني أن الأخطاء التي تحدث في البيانات المدخلة قد تؤدي إلى نتائج خاطئة أو غير دقيقة 3  عدم قدرتها على الشعور بالمشاعر البشرية والتفاعل الاجتماعي بنفس الطريقة التي يفعلها البشر 4  الاعتماد الكامل على البرمجيات والأجهزة الأخرى التي تشغلها  وهذا يعني أن أي خلل في هذه الأجهزة يمكن أن يؤدي إلى أخطاء في العملية 5  الصعوبة في التعامل مع مفاهمن الممكن تحديد بعض السلبيات التي قد تصاحب الذكاء الاصطناعي  على سبيل المثال 1  قدرتها المحدودة على الفهم الحقيقي للعالم والبيئة الاجتماعية والثقافية بشكل كامل  بما في ذلك المعاني الدقيقة والتفاصيل الدقيقة في اللغات الأخرى 2  الاعتماد على البيانات المدخلة لها  مما يعني أن الأخطاء التي تحدث في البيانات المدخلة قد تؤدي إلى نتائج خاطئة أو غير دقيقة 3  عدم قدرتها على الشعور بالمشاعر البشرية والتفاعل الاجتماعي بنفس الطريقة التي يفعلها البشر 4  الاعتماد الكامل على البرمجيات والأجهزة الأخرى التي تشغلها  وهذا يعني أن أي خلل في هذه الأجهزة يمكن أن يؤدي إلى أخطاء في العملية 5  الصعوبة في التعامل مع مفاهيم المعرفة التي لم تتم معالجتها بعد في البحث العلمي والتكنولوجيا على الرغم من هذه السلبيات  إلا أن الذكاء الاصطناعي يتمتع بالعديد من المزايا والقدرات الفريدة التي يجعلها فعالة للغاية في العديد من المجالات ,0
عاوز حد كويس بيشرح لغة c ,0,شرح الأستاذ عبدالرحمن جمال في ترجمته لكورس CS 50 كان رائع جدا    رابط الكورس  https   youtube com playlist list PLknwEmKsW8OvMsFbU9zo8oJCprAsgc4LO,1
ما هو ال parametre في لغة البرمجة  ,0,الاجابة  Parameter هو معامل الدالة اي مثل متغير معرف في نطاق الدالة وقيمته تأخد من استدعاء الدالة واعطائها معطيات argumentsمن الدالة الرئيسية يعتبر من البديهيات فهمه يأتي مع الممارسة ,1
لو عندى فكره موقع وعايز مطور ينفذهالي اعمل ايه  ,0,ادرس الفكرة الموقع وايش الاحتياجات عشان يتنفذ هذا الموقععشان تكسب المعرفة لازمة وتختارر الناس الصح لتنفيذ مشروعك ملاحظات حول المبرمج   يجب ان يكون متخصص يجب عليه انه يسلمك الكود المصدري للمشروع source code  full stack developer يعمل ك لتجنب التكاليف ان ينشأ جدول ويضع لكل سعر سعره مثل التصميم يكلف ٥٠ والبرمجة تكلف ٨٠ المجموع ١٣٠ مثلا    عشان ما يحصل تلاعب بالأسعار  امتلاك معرفة ولو سطحية يسهل عليك الكثير ,1
من فضلكم   ماهي افضل الكتب باللغة العربية لتعلم لغة البايثون python language  ,1,اذا كنت مبتدأ يمكن ان تتعلمها بكل سهوله من تطبيق مجاني يسمي Mimo,0
لماذا لا تريدني بعض المواقع أن أخرج من صفحة الويب الخاصة بها    أعني أنقر على موقع الخروج من الموقع   ولكن لا تزال الصفحة ت حد  ث فقط    فقد بدأ الأمر يصبح مزعج ا حقا,1,أنا كنت زيك كدة لغاية ما كرمني ربنا برنامج منع الازعاج من الاعلانات المقفرفة دي,1
كيف أبدأ في مشروع البيع عبر الأنترنيت عن طريق إنشاء موقع خاص بي  وما هي الإكراهات التي ممكن أن أجد ,0,أكبر مشكل انه يمكنك إكمال الموقع و السلع و التوقف عند إيجاد بوابة دفع إلكترونية تقبل البطاقات البنكية كسترايب و غيره  وفقك الله ساعطيك شروحات لاحقا إن شاء الله ,0
ازاي يبقي نفسي طويل و اقاوم التحديات البرمجه  ,0,الأصح أن تجعل نفسك طويل عامة ثم في البرمجة خاصة عليك أن تبتعد عن مواقع التواصل الإجتماعي و الهاتف عامة أن تحاول أن تعالج ماخربه هذا الإدمان بالقرأة للكتب الطويلة دون صور أما بخصوص البرمجة عليك أن تضع نفسك في مكان خاص بالدراسة ويكون فيه ضوء من الخطاء أن تدرس في السرير أو في الضلام العقل يربط بين الأماكن وترسخ في عقلك أن السرير للنوم إذن إبحث عن مكان أخر للدراسة ,1
ما هي الخطوة التالية في تعلم البرمجة بعد تعلم لغة html و css و javascript ,0,بعد تعلم لغات HTML و CSS و JavaScript  يمكن الانتقال إلى تعلم لغة برمجة الويب الأكثر شيوع ا واستخدام ا  وهي لغة PHP  ت ستخدم PHP بشكل واسع لتطوير تطبيقات الويب الديناميكية ويعتبر تعلمها مهم ا لأي شخص يرغب في تطوير تطبيقات ومواقع الويب بعد ذلك  يمكن التحول إلى تعلم لغات البرمجة الخلفية الأخرى مثل Python أو Ruby أو Java  والتي تستخدم لتطوير تطبيقات سطح المكتب وتطبيقات الهواتف الذكية والأجهزة اللوحية يجب أن يتم تعلم البرمجة على مستوى أساسي بشكل جيد قبل الانتقال إلى تعلم لغات البرمجة الأخرى وتطبيقاتها العملية  ويجب التدرب على كتابة الأكواد وحل المشاكل البرمجية المختلفة لتحسين المهارات البرمجية ,0
ليه لما باجى احول ال resolution بتاعة شاشة اللابتوب من 1080p ل 1366 768 الشاشة والخطوط بتتغير جودتها للأسوء مع ان المفروض انى بقلل الجودة مش بعليها   وانا برتاح على ال resolution دي اكتر في تشغيل الفيديوهات وعاللاب عموماايه الحل لكدة بحيث لما احولها ل 1366 تبقى كل حاجة واضحة زي 1080p وسؤال تانى هل الشاشة ال glossy افضل ولا matte  ,1,السبب في تغيير الخطوط الى جودة اسوء هو لانك قللت الجودة من الاصل من 1920 1080 الى 1366 768وبالنسبة لاستغرابك بـقول  المفروض اني بقلل الجودة مش بعليها  هنا تقول العكس تماما  في مبدأ الجودة حيث الصحيح هو انك اذا قللت سوف تلاحظ تغيير الى الاسوء   واذا زيدت سوف تلاحظ تحسين بالجودة  وبالنسبة لاختيار نوع الشاشة فأنصحك بأختيار نوع الشاشات المصمتة  matte   الشاشة التي على اليسار في الصورة  والسبب انها لا تضر بالعين على عكس نوع شاشة  glossy   الشاشة التي على اليمين في الصورة  حيث يوصي الاطباء انه اذا كان لديك مثل هذه الشاشات اللامعة  العاكسة  فيجب على الاقل ان ترتدي نظارة طبية دمتم بخير وعافية,1
